MapId,Sector,ModelElement,File,Parameter,Years,Meaning,SourceIds,AssumptionIds,CalculationIds,Status,Notes
MAP-POWER-RC,Power,Eight existing generation technologies,RYT.json,RC,2020-2053,Remaining installed capacity by technology,DS-DOE-EPIRA-2020;DS-MODEL-V13,AS-POWER-PROFILE,CAL-POWER-RC,implemented,Plant-vintage register remains a next-step improvement.
MAP-HIST-BOUNDS,Energy and end use,Historical activity bounds,RYT.json,TAL;TAU;TAMaxCI,2020; power dispatch through 2024,Remove activity reproduction; retain stock initialization,DS-MODEL-V13,AS-INIT-NCI;AS-RESOURCE-LIMIT,CAL-BOUND-REMOVAL;CAL-INIT-NCI,implemented,Every changed cell is in PARAMETER_CHANGE_LOG.csv.
MAP-HEAT-REMOVAL,Power/environmental accounting,PHL_POW_HEAT;PHL_POW_HEAT1;PHL_POW_GEO_OLD output link,genData.json;RYC.json;RYCTs.json;RYTCM.json,osy-comm;OAR;AAD;SAD;SDP,2020-2053,Remove an unconsumed geothermal output that duplicated electricity activity one-for-one and was not Philippine direct-use heat.,DS-MODEL-V13;DS-WGC-DIRECT-USE-2020;DS-DOE-EBT-PRIMER-2021;DS-IRENA-SEA-2018,AS-HEAT-SYSTEM-BOUNDARY,CAL-HEAT-STRUCTURE,implemented,"Reported Philippine direct geothermal use (12.65 TJ in 2019) is small, standalone bathing/swimming demand and is not represented as a power-plant coproduct."
MAP-TURN_AGR_HEAT-RC,Agriculture heat,PHL_AGR_HEAT_OIL;PHL_AGR_HEAT_NG;PHL_AGR_HEAT_COAL;PHL_AGR_HEAT_ELE;PHL_AGR_HEAT_BIOM,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_AGR_HEAT-STOCK,implemented,
MAP-TURN_AGR_HEAT-TURN,Agriculture heat,TURN_AGR_HEAT,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_AGR_HEAT-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_INDU_LPH-RC,Industry low-temperature heat,PHL_INDU_OTHLPH_OIL;PHL_INDU_OTHLPH_NG;PHL_INDU_OTHLPH_H2;PHL_INDU_OTHLPH_ELE;PHL_INDU_OTHLPH_COAL;PHL_INDU_OTHLPH_BIOM,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_INDU_LPH-STOCK,implemented,
MAP-TURN_INDU_LPH-TURN,Industry low-temperature heat,TURN_INDU_LPH,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_INDU_LPH-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_INDU_HPH-RC,Industry high-temperature heat,PHL_INDU_OTHHPH_OIL;PHL_INDU_OTHHPH_NG_CCS;PHL_INDU_OTHHPH_NG;PHL_INDU_OTHHPH_H2;PHL_INDU_OTHHPH_COAL_CCS;PHL_INDU_OTHHPH_COAL;PHL_INDU_OTHHPH_BIOM_CCS;PHL_INDU_OTHHPH_BIOM,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_INDU_HPH-STOCK,implemented,
MAP-TURN_INDU_HPH-TURN,Industry high-temperature heat,TURN_INDU_HPH,RYT.json,TAMaxCI,2020-2053,Aggregate annual class new-capacity ceiling,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_INDU_HPH-TURN;CAL-TECH-ADOPTION-CAP,implemented,"The ceiling applies to each technology, not the class sum. It prevents one option taking over instantly while retaining multi-technology flexibility."
MAP-TURN_SER_HEAT-RC,Services heat,PHL_SER_HEAT_RES;PHL_SER_HEAT_OIL;PHL_SER_HEAT_ELE;PHL_SER_HEAT_NG;PHL_SER_HEAT_COAL;PHL_SER_HEAT_BIOM,RYT.json;RT.json,RC;OL where changed,2020-2053,Initial stock and uniform-age retirement profile,DS-MODEL-V13;DS-V13-BASE-CAPACITY,AS-ACTIVITY-STOCK;AS-UNIFORM-AGE;AS-ENDUSE-TURN;AS-TECH-ADOPTION-CAP;AS-NUMERICAL-HEADROOM,CAL-TURN_SER_HEAT-STOCK,implemented,
