map_id,sector,model_entity,parameter_or_file,modes,years,meaning,source_ids,assumption_ids,calculation_ids,representation_status,notes
M-LAW-01,Land-agriculture-water,"Crop production options","optn_mds.txt","High/low-input and rain-fed/irrigated modes","2020–2053","Production options for six crop groups","DS-GAEZ-V4-YIELD;DS-GAEZ-V4-WATER;DS-CLEWS-GLOBAL","A-LAW-01;A-LAW-02;A-LAW-03;A-LAW-04;A-LAW-05","C-LAW-02",Active,"Mode numbers are used by cluster allocation technologies."
M-LAW-02,Land-agriculture-water,"LNDAGRPHLC01–LNDAGRPHLC08","InputActivityRatio.csv and OutputActivityRatio.csv","All crop and land-cover modes","2020–2053","Spatial allocation with cluster-specific land, yield and water coefficients","DS-GAEZ-V4-YIELD;DS-GAEZ-V4-WATER;DS-GAEZ-V4-LANDCOVER","A-LAW-01;A-LAW-02;A-LAW-04","C-LAW-02",Active,"Cluster-specific coefficients are generated upstream."
M-LAW-03,Land-agriculture-water,DEMAGRGWTPHL,"InputActivityRatio.csv; OutputActivityRatio.csv","1","2020–2053","Groundwater irrigation supply: consumes 0.0173 agricultural electricity and produces 1 AGRWATPHL","DS-CLEWS-GLOBAL","A-LAW-04","C-LAW-01",Active,"Upstream electricity name AGRELCPHLXX02 maps to MUIO PHL_AGR_ELE."
M-LAW-04,Land-agriculture-water,DEMAGRSURPHL,OutputActivityRatio.csv,"1","2020–2053","Surface-water irrigation supply produces the same pooled AGRWATPHL commodity","DS-CLEWS-GLOBAL","A-LAW-04","C-LAW-02",Active,"Pooling prevents exact crop/source electricity attribution."
M-LAW-05,Land-agriculture-water,CRPRCP,"SpecifiedAnnualDemand.csv","Not applicable","2020–2053","Rice crop-output demand","DS-FAOSTAT-2020-CROPS;DS-SSP2-POP","A-LAW-03","",Active,"2020 anchor with population-only growth."
M-LAW-06,Land-agriculture-water,PHL_AGR_MOT_LIQ,"Active MUIO parameter JSON files","Inherited modes","2020–2053","Aggregate agricultural motive-power liquid demand","DS-V10-ENERGY","A-ENE-01;A-LAW-05","",Active but not crop-allocated,"Must not be reported as crop-specific fuel without an explicit allocation rule."
M-FSH-01,Fisheries,"PHL_FSH_MOT; PHL_FSH_AQC; PHL_FSH_PRO","AAD","By Fisheries service","2020–2053","Useful-service demands","FSH-DOE-2023;FSH-DOE-2024","A-FSH-14;A-FSH-15","C-FSH-01;C-FSH-02;C-FSH-03",Active v2.3,"Processing is outside the DOE Fishery boundary and is separately estimated."
M-FSH-02,Fisheries,"Fisheries end-use technologies","RC; AF; OL; IAR; costs; emissions","Technology-specific","2020–2053","Conversion choices and inherited effective stock","FSH-BFAR-PROFILE-2020;FSH-GLOBAL-COMPARATORS","A-FSH-05;A-FSH-07;A-FSH-11;A-FSH-14","C-FSH-03;C-FSH-04",Active v2.3,"Some engineering publication identities remain unresolved."
M-FSH-03,Fisheries,PHL_INDU_OTH,"SAD","Not applicable","2020–2053","Industry useful-service demand after Fisheries processing carve-out","","A-FSH-16","C-FSH-05",Active v2.3,"Exact annual series retained in the evidence folder."
M-ENE-01,Energy,"Inherited v10 energy system","Active MUIO parameter JSON files","Technology-specific","2020–2053","Historical donor energy representation","DS-V10-ENERGY;DS-V10-MODEL-FIXES","A-ENE-01","",Active with documentation gap,"Original row-level sources and calculations are incomplete."
M-ENV-01,Environmental accounting,"ENV_WATER reporting dimension","ProductionByTechnologyByMode.csv; UseByTechnologyByMode.csv","Modes 1–3 plus derived liquid total","2020–2053","Water vapor and modeled raw groundwater/surface-water residuals","DS-V12-ACTIVE-JSON;DS-V12-SOLVED-RESULTS;DS-ENV-ACCOUNTING-METHOD","A-ENV-01;A-ENV-02;A-ENV-03;A-ENV-04","C-ENV-01;C-ENV-02;C-ENV-03;C-ENV-04",Active reporting-only,"ENV_WATER is not a technology in the active JSON case."
M-ENV-02,Environmental accounting,"ENV_LAND terminal","Philippines_v12_ENV_LAND JSON; TotalAnnualTechnologyActivityByMode.csv","Modes 1–8","2020–2053","Forest, grassland, other, barren/savannah, built-up, water-body, cropland and unallocated modeled land","DS-V12-ACTIVE-JSON;DS-V12-ENV-LAND-JSON;DS-ENV-ACCOUNTING-METHOD","A-ENV-01;A-ENV-04","C-ENV-05;C-ENV-06;C-ENV-07;C-ENV-09",Active in-model derived case,"Seven parallel stock commodities preserve original services; no solar-PV land account is added because the listed PHL_LND coefficients are zero."
M-ENV-03,Environmental accounting,"Native emissions","AnnualTechnologyEmission.csv","Native emission dimensions","2020–2053","Annual CO2e and PM2_5 totals","DS-V12-ACTIVE-JSON;DS-V12-SOLVED-RESULTS","A-ENV-01","C-ENV-08",Active native mechanism,"No new emission factor is added."
M-ENV-04,Environmental accounting,"Validation and account dictionary","diagnostics/environmental_accounting/<label>/","All accounts and terminal modes","2020–2053","Graph, scenario, solver, terminal/stock closure, freshness, source-hash and degeneracy evidence","DS-V12-ACTIVE-JSON;DS-V12-SOLVED-RESULTS;DS-V12-ENV-LAND-JSON;DS-ENV-ACCOUNTING-METHOD","A-ENV-01;A-ENV-03;A-ENV-04","C-ENV-01;C-ENV-02;C-ENV-03;C-ENV-04;C-ENV-05;C-ENV-06;C-ENV-07;C-ENV-08;C-ENV-09",Pass for 2026-07-25_env_land_final,"Fresh Base and PEP controls are optimal; source and control data.txt hashes match."
