assumption_id,statement,central_value,unit,evidence_source_ids,lower_bound,upper_bound,rationale,notes
ASM_PHL_WATER_NATIONAL_BOUNDARY,"Represent the Philippines as one national region with shared PHL_WTR_SUR and PHL_WTR_GWT pools; the eight LNDAGRPHLC classes are coefficient classes, not basins or aquifers.",one national water balance,boundary,SRC_PHL_V14_CASE SRC_CLEWS_PHL_GEOSPATIAL SRC_PHL_V15_MANIFEST,,,"Matches the actual one-region model topology and avoids inventing absent transfer, basin or aquifer structure.",No local-scarcity claim follows from a national cap.
ASM_PHL_ERA5_1991_2020_ANCHOR,Use the ERA5 1991-2020 national precipitation climatology as the 2020 normal for rebasing inherited hydrology.,2658.12,mm/year,SRC_WB_CCKP_ERA5_PHL_NORMAL SRC_WB_CCKP_ERA5_PHL_TS SRC_PHL_WATER_SNAPSHOT,,,Provides a current internally consistent 30-year national normal; ERA5 is reanalysis rather than the PAGASA gauge authority.,2024-2025 provisional annual data are retained only as context.
ASM_PHL_SSP245_MEDIAN_ONLY,Install one SSP2-4.5 ensemble-median precipitation pathway as the RCP4.5-equivalent central path.,SSP2-4.5 median,scenario choice,SRC_WB_CCKP_CMIP6_PHL_HIST SRC_WB_CCKP_CMIP6_PHL_SSP245_2030 SRC_WB_CCKP_CMIP6_PHL_SSP245_2050 SRC_IPCC_AR6_SSP245,,,SSP2-4.5 shares the 4.5 W/m2 forcing class requested but is not the identical RCP4.5 socioeconomic or model experiment.,The user chooses any additional scenarios; none are preinstalled.
ASM_PHL_P10_P90_METADATA_ONLY,Retain CCKP p10 and p90 values in the evidence snapshot but do not create predefined model scenarios.,not installed,scenario status,SRC_PHL_WATER_SNAPSHOT SRC_WB_CCKP_METADATA,,,Separates evidence from scenario selection and follows the user's instruction to install only the median.,"p10 is drier than the reference in both projection windows, so sign uncertainty remains visible."
ASM_PHL_SSP245_LINEAR_ANNUALISATION,"Represent 20-year CMIP6 climatologies at midpoint years 2030 and 2050, linearly interpolate annual multipliers, and continue the 2030-2050 slope through 2053.",piecewise linear,annualisation method,SRC_WB_CCKP_METADATA SRC_PHL_WATER_SNAPSHOT,,,OSeMOSYS requires annual values while CCKP publishes period climatologies; the interpolation is transparent and reproducible.,"This is a modeling assumption, not an annual forecast."
ASM_PHL_HYDROLOGY_UNIFORM_SCALING,"Apply the combined ERA5 rebase and SSP2-4.5 multiplier to precipitation IAR and surface-water, groundwater and evapotranspiration OARs for all eight coefficient classes and all 30 modes.",same annual factor on four water ratios,coefficient rule,SRC_PHL_V14_CASE SRC_PHL_V15_MANIFEST,,,Preserves each inherited mode's hydrological split and closure ratio while moving the national water envelope with precipitation.,AGRWATPHL irrigation coefficients are not scaled.
ASM_PHL_POTENTIAL_FLOW_CEILINGS,Use 125.79 km3/year surface-water potential and 20.2 km3/year groundwater potential as national annual gross-withdrawal sensitivity ceilings.,125.79 surface; 20.2 groundwater,km3/year,SRC_DEPDEV_WATER_POLICY_NOTE SRC_PDP_2023_2028_CH12 SRC_PSA_WATER_ACCOUNTS_2020 SRC_FAO_AQUASTAT_METHOD SRC_PHL_WATER_SNAPSHOT,,,These are the available national planning figures and are explicitly labeled potential-flow sensitivities; the PSA abstraction account is retained only to disclose the differing boundary.,"They are not dependable yield, environmental-flow-adjusted availability, aquifer stock or safe yield."
ASM_PHL_CAPS_SCALE_WITH_MEDIAN_PRECIP,Scale both national potential-flow ceilings with the same SSP2-4.5 annual precipitation multiplier used for hydrology.,cap[y] = cap[2020] * median_multiplier[y],rule,SRC_PHL_WATER_SNAPSHOT SRC_WB_CCKP_CMIP6_PHL_SSP245_2030 SRC_WB_CCKP_CMIP6_PHL_SSP245_2050,,,Provides a transparent climate-linked national sensitivity in the absence of a calibrated runoff/recharge response model.,This proportional response is an assumption and should be replaced by hydrological modeling when available.
ASM_PHL_GWT_IRRIGATION_ONE_TO_ONE,Require DEMAGRGWTPHL to consume one unit of PHL_WTR_GWT for each unit of irrigation-water activity in its single active mode.,1,km3/km3 activity,SRC_PHL_V14_CASE SRC_PHL_V15_MANIFEST,1,1,Technology activity and raw-water commodity share the same 10^9 m3 unit; the 1:1 pass-through closes the missing physical link.,Existing pumping-electricity input is retained; pumping energy and lift are not recalibrated.
ASM_PHL_POLICY_INHERITANCE,"Put water coefficients and constraint values in SC_0 BASE and preserve null/inheritance rows for COAL_PHASEOUT, RE and EV scenarios.",BASE values; policy rows null,scenario convention,SRC_PHL_V14_CASE SRC_PHL_V15_MANIFEST,,,Preserves existing scenario semantics and prevents duplicated hard-coded policy data.,All four existing scenarios remain; no water scenario is added.
