group,param,entity,entity2,mode,v0,v1,interp,source
RYC,AAD,COM_fsh01,,,1.456223214,1.456223214,flat,"D1: DOE-normalized liquid balance: (4.429425-0.352) PJ / IAR 2.8; S18,S19,A14"
RYC,AAD,COM_fsh02,,,4.992662319,13.10573859,linear,"D2: 0.352 PJ liquid /3.3 + 5.618895 PJ electricity /1.15; retains v1 growth multiplier; S18,S19,A14,A15"
RYC,AAD,COM_fsh03,,,1.563068182,4.145781,linear,"D3: Industry-boundary processing: 1.25 PJ liquid /1.6 + 0.86 PJ electricity /1.1; S4,S6,A5,A16"
RYTCM,IAR,TEC_fsh02,,1,2.8,2.8,flat,"D4: diesel-dominated fishing-fleet shaft efficiency 36%; DOE fuel mix is >96% diesel by energy; S19,S16"
RYTCM,IAR,TEC_fsh03,,1,1.3,1.3,flat,"D5: electric drivetrain to-shaft 87% x battery+charger 90% = 78%; S9"
RYTCM,IAR,TEC_fsh04,,1,3.3,3.3,flat,"D6: diesel genset+motor 30%; S16,A7"
RYTCM,IAR,TEC_fsh05,,1,1.15,1.15,flat,"D6: grid motor+drive 87%; A7"
RYTCM,IAR,TEC_fsh06,,1,1.6,1.6,flat,"D7: boiler 75% / genset 30% thermal-heavy mix = 62%; A5"
RYTCM,IAR,TEC_fsh07,,1,1.1,1.1,flat,"D7: direct electric ice/refrigeration 92%; S6"
RYTEM,EAR,TEC_fsh02,EMI_xpvk3,1,9.1e-5,9.1e-5,flat,"D8: diesel 1.4 g PM2.5/kg /43.1 MJ/kg x IAR 2.8; S10,S19"
RYTEM,EAR,TEC_fsh04,EMI_xpvk3,1,1.1e-4,1.1e-4,flat,"D9: diesel 1.4 g/kg /43.1 x IAR 3.3; S10"
RYTEM,EAR,TEC_fsh06,EMI_xpvk3,1,5.0e-5,5.0e-5,flat,"D9: diesel 1.4 g/kg /43.1 x IAR 1.6; S10"
RYT,CC,TEC_fsh02,,,165,165,flat,"D10: ~45 USD/kW-input engines /0.27; S7,S8 (range 19-80 USD/kW-input)"
RYT,CC,TEC_fsh03,,,3600,1400,linear,"D11: motor 700 + battery ~2100 USD/kW-input /0.78; decline = battery learning; S8,S9,A8"
RYT,CC,TEC_fsh04,,,500,500,flat,"A9: diesel genset+pump per kW-useful"
RYT,CC,TEC_fsh05,,,350,350,flat,"A9: grid pump/aerator per kW-useful"
RYT,CC,TEC_fsh06,,,300,300,flat,"A9: boiler-dominated per kW-useful"
RYT,CC,TEC_fsh07,,,350,350,flat,"A9: ice/refrigeration equipment per kW-useful"
RYT,FC,TEC_fsh02,,,13,13,flat,"A10: ~8% of CC"
RYT,FC,TEC_fsh03,,,40,40,flat,"A10: incl. partial battery reserve"
RYT,FC,TEC_fsh04,,,25,25,flat,"A10: ~5% of CC"
RYT,FC,TEC_fsh05,,,18,18,flat,"A10"
RYT,FC,TEC_fsh06,,,15,15,flat,"A10"
RYT,FC,TEC_fsh07,,,18,18,flat,"A10"
RYT,AF,TEC_fsh02,,,1,1,flat,"P1: normal end-use availability ceiling, matching CLEWs Global converter semantics; the 12% historical utilization assumption is used only to estimate 2020 stock"
RYT,AF,TEC_fsh03,,,1,1,flat,"P1: normal end-use availability ceiling; no 2020 residual electric-fleet stock is assumed"
RYT,AF,TEC_fsh04,,,1,1,flat,"P1: normal end-use availability ceiling; the 30% historical utilization assumption is used only to estimate 2020 stock"
RYT,AF,TEC_fsh05,,,1,1,flat,"P1: normal end-use availability ceiling; the 30% historical utilization assumption is used only to estimate 2020 stock"
RYT,AF,TEC_fsh06,,,1,1,flat,"P1: normal end-use availability ceiling; the 45% historical utilization assumption is used only to estimate 2020 stock"
RYT,AF,TEC_fsh07,,,1,1,flat,"P1: normal end-use availability ceiling; the 45% historical utilization assumption is used only to estimate 2020 stock"
RYT,RC,TEC_fsh02,,,0.38480446,0,rampzero:2028,"P2: effective 2020 installed stock = observed MOT_LIQ service /(31.536 PJ/GW-yr x 12% utilization); straight-line retirement over the 8-year operating life"
RYT,RC,TEC_fsh03,,,0,0,flat,"P2: negligible electric fishing-fleet stock assumed in 2020"
RYT,RC,TEC_fsh04,,,0.011274593,0,rampzero:2035,"P2: effective 2020 installed stock = observed AQC_LIQ service /(31.536 x 30% utilization); straight-line retirement over the 15-year operating life"
RYT,RC,TEC_fsh05,,,0.516446353,0,rampzero:2035,"P2: effective 2020 installed stock = observed AQC_ELE service /(31.536 x 30% utilization); straight-line retirement over the 15-year operating life"
RYT,RC,TEC_fsh06,,,0.055051722,0,rampzero:2035,"P2: effective 2020 installed stock = observed PRO_LIQ service /(31.536 x 45% utilization); straight-line retirement over the 15-year operating life"
RYT,RC,TEC_fsh07,,,0.05509176,0,rampzero:2035,"P2: effective 2020 installed stock = observed PRO_ELE service /(31.536 x 45% utilization); straight-line retirement over the 15-year operating life"
RYC,SAD,COM_8qscb,,,,,series:FSH_industry_carveout_v2.3.csv,"B4: direct one-for-one useful-service carve-out of explicit FSH processing from aggregate Industry other; no saved-solution coefficient"
RT,CAU,TEC_fsh02,,,31.536,,flat,"C1: standard GW->PJ/yr (FSH uses power-sector convention, unlike AGR)"
RT,CAU,TEC_fsh03,,,31.536,,flat,"C1"
RT,CAU,TEC_fsh04,,,31.536,,flat,"C1"
RT,CAU,TEC_fsh05,,,31.536,,flat,"C1"
RT,CAU,TEC_fsh06,,,31.536,,flat,"C1"
RT,CAU,TEC_fsh07,,,31.536,,flat,"C1"
RT,OL,TEC_fsh02,,,8,,flat,"D15: 1500-4000 h engine life at ~1000 h/yr with rebuilds; S17"
RT,OL,TEC_fsh03,,,12,,flat,"D15: LFP 3000+ cycles ~ 12 yr; S17"
RT,OL,TEC_fsh04,,,15,,flat,"A13: stationary equipment"
RT,OL,TEC_fsh05,,,15,,flat,"A13"
RT,OL,TEC_fsh06,,,15,,flat,"A13"
RT,OL,TEC_fsh07,,,15,,flat,"A13"
