gap_id,what_was_needed,tier_sought,what_happened,consequence,how_to_close
GAP_VC_PSA_NONPALAY_COSTS,crop production cost per kilogram,1 - Philippine,"PSA cost-and-returns surveys exist for palay only: OpenSTAT tables 5.5, 5.6 and 5.7. Folder 3S/C5 was enumerated table by table and there is no maize, coconut, sugarcane, tomato or vegetable cost-and-returns table.",160 non-rice crop-mode cells rest on ASM_COST_RATIO rather than an observed cost.,"Request the crops cost-and-returns micro-data from PSA, or use Department of Agriculture regional cost-of-production surveys."
GAP_VC_PSA_CLOUDFLARE,any PSA publication PDF,1 - Philippine,"psa.gov.ph returns HTTP 403 behind a Cloudflare security-verification interstitial for every publication PDF, including Selected Statistics on Agriculture and Fisheries 2022. The challenge was not bypassed.",The 2021 palay cost per kilogram could not be re-verified against the printed source. It was taken from the existing ledger entry and validated arithmetically against the case instead.,Download the yearbook from an interactive browser session and place it in evidence/.
GAP_VC_PH_POWER_VOM,power generation variable O&M,1 - Philippine,"No Philippine source publishes technology-level non-fuel variable operating cost. Checked: PSA OpenSTAT folder 3S/C14 holds only supply, generation, capacity and consumption tables (14.1a to 14.17), no cost tables; the Annual Survey of Philippine Business and Industry reports total expense by industry, not by generating technology; the DOE Power Development Plan tables give capacity and generation, not O&M.","All 18 power proposals fall to tier 2, the US EIA, under ASM_EIA_PROXY.","Ask the Energy Regulatory Commission for the fuel and non-fuel cost components in generation rate filings, or NPC and PSALM audited statements for plant-level O&M."
GAP_VC_HYDROGEN_DAC_SYNFUEL_AMMONIA,"PHL_POW_ELEC, PHL_POW_BH2_NG, PHL_POW_GH2_NG, PHL_POW_GH2_COAL, PHL_POW_DAC, PHL_POW_SYNTH, PHL_POW_TECH_AMMO",2 - international,"EIA AEO2023 Table 1 covers electricity generation only and has no row for electrolysis, steam methane reforming, coal gasification, direct air capture, Fischer-Tropsch synthesis or ammonia synthesis. No source located at cell level in this pass.","Seven technologies keep the placeholder with no proposal, so in the model they convert energy at essentially zero non-fuel cost.","IEA Global Hydrogen Review technology annex; IRENA Green Hydrogen Cost Reduction; for direct air capture, Keith et al. (2018) in Joule and the IEA DAC technology brief. Note that most of these report O&M as a percentage of capital cost per year, which belongs in FixedCost, not here."
GAP_VC_REFINING_PROCESSING,"PHL_PRO_PROC_OIL, PHL_PRO_PROC_NG, PHL_PRO_PROC_COAL, PHL_PRO_PROC_BIOF",1 - Philippine,"No published non-fuel operating cost for Philippine refining, gas processing, coal preparation or biofuel production. DOE publishes retail price build-ups, not refinery operating cost, and a search for the DOE bioethanol and biodiesel reference prices returned only blending-mandate circulars, not the price tables.","Four processing technologies keep the placeholder. PHL_PRO_PROC_BIOF is the worst case: it has no input commodity at all, so with a placeholder VariableCost the model makes biofuel out of nothing at almost zero cost.",DOE Oil Industry Management Bureau for refinery cost build-ups; the Sugar Regulatory Administration for the bioethanol reference price; USDA FAS Manila Biofuels Annual as a secondary source.
GAP_VC_NONROAD_TRANSPORT_UNITS,"PHL_TRA_AVI_LIQ, PHL_TRA_SHIP_LIQ, PHL_TRA_SHIP_AMMO, PHL_TRA_RAILF_ELE/LIQ/H2, PHL_TRA_RAILP_ELE/LIQ/H2",n/a - internal defect,"These nine technologies cannot be priced because their unit basis is inconsistent. Their CapitalCost is a whole-vehicle price - 89,000 MUSD per 10^3 aircraft is 89 million USD each - but their activity is not vehicle-kilometres. Shipping carries 393.99 x 10^9 activity units in 2020 at 0.084 PJ each, which is 0.084 MJ per unit, a tonne-kilometre figure, not a ship-kilometre figure. Aviation is 12.4 MJ per unit, an order of magnitude below the roughly 130 MJ an aircraft burns per kilometre. Rail is 88 MJ per unit, which is a train-kilometre. ResidualCapacity is correspondingly unusable: 3.94 million ships and 2 trains.",No variable cost can be proposed for nine technologies until the unit basis is fixed. Their capital costs are wrong by three to four orders of magnitude for the same reason.,"Restate the non-road transport block on one explicit basis, then price it. Philippine activity denominators exist: PSA Philippine Statistical Yearbook table 13.1 (railway passengers and revenues), 13.2 (light rail transit), 13.7 (shipping cargo and passengers) and 13.10a (aircraft, cargo and passenger movement by airport)."
GAP_VC_RAIL_AIR_SHIP_MAINTENANCE,"rail, aviation and shipping maintenance cost",1 - Philippine,"PSA transport tables give passengers, revenues and movements but no operating cost. PNR, LRTA and MRTC maintenance expense appears only in Commission on Audit annual audit reports, which were not retrieved. The ADB Mindanao Road Sector economic and financial analysis, which carries a Philippine multi-class vehicle operating cost table, returned HTTP 403.",Even once the unit basis is fixed there is no Philippine maintenance cost to apply.,"Commission on Audit annual audit reports for PNR, LRTA and PNOC Shipping; CAAP and MARINA operating statistics."
GAP_VC_WATER_UTILITY_OM,"DEMAGRSURPHL, DEMAGRGWTPHL, PHL_DEM_PUB_SUR_WAT, PHL_DEM_PUB_GWT_WAT, PHL_DEM_PWR_SUR_WAT, PHL_DEM_PWR_GWT_WAT",1 - Philippine,"PSA OpenSTAT folder 3S/C14 holds only the number of water districts (table 14.18) and households served (14.19), with no financial data. LWUA and NWRB cost data was not retrieved. Irrigation service fees were abolished for smallholders by Republic Act 10969 of 2018, so the charge is zero and cannot stand in for the cost.","Six water technologies keep the placeholder. For the two irrigation technologies this is close to correct anyway, because irrigation cost is already inside the crop production cost this pass proposes, and pricing it again would double count.",LWUA annual reports for water district operating expense per cubic metre; NIA statements of operation and maintenance expenditure per hectare.
GAP_VC_INDUSTRIAL_CCS,"PHL_INDU_OTHHPH_BIOM_CCS, PHL_INDU_OTHHPH_COAL_CCS, PHL_INDU_OTHHPH_NG_CCS",2 - international,"Industrial capture has genuine variable cost - solvent make-up, CO2 transport and storage - but the EIA table covers power plants only, and no industrial equivalent was located at cell level.",Three technologies carry no proposal.,IEAGHG technical reports; the IEA CCUS technology cost annex.
GAP_VC_ANL_ATRI_WB_BLOCKED,"road vehicle maintenance, corroborating sources",3 - literature,Argonne National Laboratory ANL/ESD-21/4 returned HTTP 403 from both publications.anl.gov and the OSTI mirror; the American Transportation Research Institute cost-per-mile report returned 404; World Bank Technical Paper 234 on vehicle operating costs is a scanned image with no text layer; the US DOE presentation van038_Gohlke_2021 uses CID-encoded fonts and yielded no extractable text.,"None. Two Philippine sources were obtained and they agree, so no international corroboration was needed.",Retrieve through an institutional proxy if an independent check is wanted.
