calculation_id,formula,source_ids,assumption_ids,input_calculation_ids,input_values,input_units,output_value,output_unit,script_path,script_version
CALC_LAW_GROUNDWATER_ELECTRICITY,electricity = groundwater delivered * 0.0173,SRC_CLEWS_GLOBAL_PINNED;SRC_CLEWSY_PINNED,ASM_LAW_POOLED_WATER,,groundwater delivered;0.0173,10^9 m3;PJ/(10^9 m3),0.0173 * groundwater delivered,PJ,overrides/workflow/submodules/clewsy/src/build/clewsy.py,6eefaf2abc6d91917c0fddfeea373db37443a8dd + patches/clewsy_changes.patch
CALC_LAW_IRRIGATION_DEMAND,agricultural water = irrigated crop-land activity * cluster/mode AGRWATPHL coefficient,SRC_GAEZ_V4;SRC_PHL_GEOSPATIAL_SUMMARIES;SRC_CLEWSY_PINNED,ASM_LAW_POOLED_WATER,CALC_LAW_CLUSTER_COEFFICIENTS,crop-land activity;cluster/mode water coefficient,10^3 km2;10^9 m3 per 10^3 km2,row-specific AGRWATPHL demand in InputActivityRatio.csv,10^9 m3,overrides/workflow/submodules/clewsy/src/build/clewsy.py,6eefaf2abc6d91917c0fddfeea373db37443a8dd + patches/clewsy_changes.patch
CALC_LAW_CLUSTER_COEFFICIENTS,"cluster coefficient = arithmetic mean of retained GAEZ raster values assigned to each cluster, with documented nearest-covered-cell fill for missing island pixels",SRC_GAEZ_V4;SRC_GADM41_PHL0;SRC_CLEWS_GAEZ_PINNED;SRC_GAEZ_YLD_HIGH_TABLE;SRC_GAEZ_YLD_LOW_TABLE;SRC_GAEZ_CWD_HIGH_TABLE;SRC_GAEZ_CWD_LOW_TABLE;SRC_GAEZ_EVT_HIGH_TABLE;SRC_GAEZ_EVT_LOW_TABLE;SRC_GAEZ_PHL_RASTER_MANIFEST;SRC_GAEZ_BASE_RASTER_MANIFEST;SRC_GAEZ_PRC_RASTER;SRC_GAEZ_LCTYPE_RASTER,,,GAEZ yld/cwd/evt/precipitation/LCType pixels;8 clusters,raw raster units;cluster identifier,geospatial/summary_stats cluster means and converted clewsy coefficients,parameter-specific model units,overrides/workflow/submodules/CLEWs_GAEZ/GAEZ_Processing/libs/spatial_clustering.py,30ec12e6524dc9c8ce474ffe1a467508f992007f + patches/CLEWs_GAEZ_changes.patch
CALC_LAW_CROP_DEMAND_GROWTH,"demand_y = production_2020 * population_index_y; population_index_y = interpolated SSP2 population_y / SSP2 population_2020 after joining five-year observations to an annual 2015-2053 left index; 2051-2053 consequently forward-fill the 2050 value",SRC_FAOSTAT_PRODUCTION_FILE;SRC_FAOSTAT_PHL_SELECTION;SRC_SSP2_POP_WORKBOOK;SRC_SSP2_PHL_ROW;SRC_SSP2_PHL_ANNUAL_INDEX,ASM_LAW_SSP2_GROWTH,CALC_LAW_SSP2_ANNUAL_INDEX,2020 crop production anchor;exact SSP2 workbook row,tonnes;million people,annual crop demand in AccumulatedAnnualDemand.csv,Mt crop,overrides/workflow/scripts/clewsy.py,6eefaf2abc6d91917c0fddfeea373db37443a8dd + retained override
CALC_LAW_GAEZ_CACHE_SELECTION,"select RCP, CON, MZE, TOM, SGC, BAN, RUB and CAS at AWC 200 mm/m; high input = HadGEM2-ES/RCP4.5/2011-2040; low input = CRUTS32/Historical/1981-2010; cross three metrics with irrigation and rain-fed modes",SRC_GAEZ_YLD_HIGH_TABLE;SRC_GAEZ_YLD_LOW_TABLE;SRC_GAEZ_CWD_HIGH_TABLE;SRC_GAEZ_CWD_LOW_TABLE;SRC_GAEZ_EVT_HIGH_TABLE;SRC_GAEZ_EVT_LOW_TABLE;SRC_PHL_V12_WORKFLOW_FORENSICS,ASM_LAW_TOMATO_PROXY;ASM_LAW_OTHER_AGGREGATION;ASM_LAW_RUBBER_HIGH_ONLY,,six GAEZ catalogue tables;8 high-input proxies;7 low-input proxies,GAEZ catalogue rows,90 crop-raster records plus 2 bundled base rasters,cache files,overrides/workflow/submodules/CLEWs_GAEZ/GAEZ_Processing/libs/collect.py,30ec12e6524dc9c8ce474ffe1a467508f992007f + recovered session record
CALC_LAW_SSP2_ANNUAL_INDEX,"join data!A1373:Y1373 five-year population values to annual years 2015-2053; interpolate; select 2020-2053; divide each value by the 2020 value",SRC_SSP2_POP_WORKBOOK;SRC_SSP2_PHL_ROW,, ,IIASA-WiC POP SSP2 PHL population,million people,SSP2_PHL_ANNUAL_INDEX_2020_2053.csv,relative index 2020=1,overrides/workflow/scripts/clewsy.py,6eefaf2abc6d91917c0fddfeea373db37443a8dd + retained override
CALC_ENV_WATER_VAPOR,production(PHL_WTR_EVT) - ordinary use(PHL_WTR_EVT),SRC_ENV_ARTIFACTS;SRC_ENV_METHOD_RECORD,ASM_ENV_ARCHITECTURE;ASM_ENV_COMMODITY_TOLERANCE,,saved production;ordinary use,10^9 m3;10^9 m3,ENV_WATER mode 1,10^9 m3,scripts/report_environmental_accounting.py,4690597ac3511f402990b03ecfc4182f70b3850b
CALC_ENV_GROUNDWATER_REMAINING,production(PHL_WTR_GWT) - ordinary use(PHL_WTR_GWT),SRC_ENV_ARTIFACTS;SRC_ENV_METHOD_RECORD,ASM_ENV_ARCHITECTURE;ASM_ENV_COMMODITY_TOLERANCE,,saved production;ordinary use,10^9 m3;10^9 m3,ENV_WATER mode 2,10^9 m3,scripts/report_environmental_accounting.py,4690597ac3511f402990b03ecfc4182f70b3850b
CALC_ENV_SURFACE_WATER_REMAINING,production(PHL_WTR_SUR) - ordinary use(PHL_WTR_SUR),SRC_ENV_ARTIFACTS;SRC_ENV_METHOD_RECORD,ASM_ENV_ARCHITECTURE;ASM_ENV_COMMODITY_TOLERANCE,,saved production;ordinary use,10^9 m3;10^9 m3,ENV_WATER mode 3,10^9 m3,scripts/report_environmental_accounting.py,4690597ac3511f402990b03ecfc4182f70b3850b
CALC_ENV_LIQUID_WATER_REMAINING,ENV_WATER mode 2 + ENV_WATER mode 3,SRC_ENV_ARTIFACTS;SRC_ENV_METHOD_RECORD,ASM_ENV_ARCHITECTURE;ASM_ENV_COMMODITY_TOLERANCE,CALC_ENV_GROUNDWATER_REMAINING;CALC_ENV_SURFACE_WATER_REMAINING,groundwater remaining;surface-water remaining,10^9 m3;10^9 m3,combined modeled raw liquid-water remaining,10^9 m3,scripts/report_environmental_accounting.py,4690597ac3511f402990b03ecfc4182f70b3850b
