assumption_id,statement,why,source_ids,sensitivity
ASM_FX_2021,One US dollar is 49.25 Philippine pesos.,"Average market rate for 2021, the price year of the crop cost data.",SRC_PSA_SSAF_2022,Already the house convention. Changing it would break comparability with the rice VariableCost already stored in the case.
ASM_HOUSE_CROP_FORMULA,Crop VariableCost = output activity ratio (Mt per 10^3 km2) x production cost (PHP/kg) x 1000 kg/t / 49.25 PHP/USD.,This is the formula already used for the two rice modes in the case.,SRC_VC_MODEL_INTERNAL,"Verified: 0.32229806503462954 x 13.95 x 20.30456852791878 = 91.29051791336207, the stored value for LNDAGRPHLC01 mode 11. Matches CALC_PHL_V16_CROP_RICE_VARIABLE_COST in the canonical ledger."
ASM_COST_RATIO,"For crops other than palay, production cost per kilogram is the 2021 farmgate unit value times palay's own cost-to-unit-value ratio: 0.749175 irrigated, 0.836761 rainfed.","PSA runs a cost-and-returns survey for palay only. No Philippine source publishes cost per kilogram for maize, coconut, sugarcane, tomato or the residual crop group.",SRC_PSA_SSAF_2022;SRC_VC_PSA_T51_2021,"This is the single largest judgement in the crop block: it assumes every crop spends the same share of its farmgate value on production. The 2022 total-cost-to-gross-returns ratios from Tables 5.6 and 5.7 (0.8172 irrigated, 0.8832 rainfed) are an alternative, and substituting them raises every non-rice crop cost by 9 percent irrigated and 6 percent rainfed."
ASM_ROAD_K,Road-vehicle maintenance cost per kilometre is 1.8462e-06 times the price of a new vehicle.,Derived from an observed Philippine bus operator cost and corroborated by the Philippine HDM-4 calibration.,SRC_VC_PIDS_DPS1502_T5;SRC_VC_JICA_MMUTIS_TR9_T41,PIDS gives 1.8462e-06 per km including maintenance labour; MMUTIS gives 1.82e-06 per km for parts alone. The 1.4 percent gap is smaller than either source's own uncertainty.
ASM_ROAD_CAPEX_PROPORTIONAL,"The same coefficient applies to every road vehicle class, scaled by that class's capital cost.","HDM-4, the model family MMUTIS calibrated, expresses parts consumption as a percentage of new-vehicle price for every vehicle class.",SRC_VC_JICA_MMUTIS_TR9_T41,"Weakest for two- and three-wheelers, whose maintenance does not fall linearly with price: the resulting 0.0016 USD/km is at the low end of plausibility. Those three proposals are marked LOW confidence."
ASM_ACTIVITY_IS_VEHICLE_KM,"Road transport activity in this case is vehicle-kilometres, not passenger- or tonne-kilometres, despite the commodity names.","Every road technology has an output activity ratio of exactly 1, and the input activity ratios are per-vehicle fuel intensities: 1.449 MJ/km for a car, about 4.5 L/100 km, and 9.92 MJ/km for a bus, about 27.5 L/100 km.",SRC_VC_MODEL_INTERNAL,"If passenger-kilometres were intended, every proposal here would have to be divided by an occupancy factor."
ASM_PHEV_CAPEX_DEFECT,"Plug-in hybrid VariableCost is the mean of the same-class internal-combustion and battery-electric proposals, not a value scaled from its own capital cost.","The stored plug-in hybrid capital costs are about 1000 times too large: car 14000, bus 75000, heavy truck 57000, light truck and van 18000 MUSD per 10^3 vehicles. Any capex-proportional rule would inherit that error.",SRC_VC_MODEL_INTERNAL,Recompute these five proposals once the capital costs are corrected.
ASM_EIA_PROXY,United States variable operations and maintenance costs are used for Philippine power plants.,"No Philippine institution publishes technology-level non-fuel variable operating cost. The closest national data, the PSA Annual Survey of Philippine Business and Industry, implies about 51 USD/MWh of non-intermediate expense for the electricity sector, which plainly includes depreciation, taxes, interest and distribution margin and so cannot be used as variable O&M.",SRC_VC_EIA_AEO2023_T1,"Variable O&M is dominated by consumables and wear-related overhaul, both internationally traded; the labour share, where the Philippines differs most, sits mainly in fixed O&M. Expect true Philippine values somewhat below these."
ASM_VC_UNITS_USD_PER_GJ,"For a technology whose activity unit is PJ, VariableCost in MUSD per PJ is numerically USD per GJ.",MUSD/PJ = 10^6 USD / 10^15 J = 10^-9 USD/J = 1 USD/GJ.,SRC_VC_MODEL_INTERNAL,This is why the conversion from USD/MWh is a division by 3.6.
ASM_CCS_INCREMENT,"Biomass with carbon capture costs the biomass variable O&M plus the increment capture adds to coal, 12.35 minus 5.06 = 7.29 2022USD/MWh.",The EIA table has no biomass-with-capture row.,SRC_VC_EIA_AEO2023_T1,"Marked LOW confidence. The increment is dominated by solvent make-up and CO2 compression, which scale with captured CO2, and biomass flue gas differs from coal flue gas."
