AssumptionId,Sector,Statement,Affects,Status,Rationale,ReplacementEvidence
AS-ACTIVITY-STOCK,End-use sectors without official stock series,The validated v13 BASE TotalCapacityAnnual value that served the 2020 observed activity is transferred once into initial effective capacity.,"RYT.RC for agriculture heat, industry heat, services heat, navigation, rail and aviation",active; replace when physical stock and utilization data are assembled,"Moves calibration evidence from an annual activity constraint into an initial stock while retaining time-slice, availability and capacity-to-activity effects already represented by the model.","Sector equipment censuses, plant registers, vehicle/vessel/rolling-stock registers and utilization surveys"
AS-NUMERICAL-HEADROOM,Inherited effective end-use stocks,Positive 2020 effective stocks parsed from the validated v13 CBC results are multiplied by 1.000001 before becoming ResidualCapacity.,RYT.RC for stock groups whose physical stock is inherited from the validated v13 solution,active numerical safeguard,"The four-decimal TotalCapacityAnnual CSV truncated the services-heat stock enough to leave a 3.91053e-06 time-slice service shortfall. One part per million is below the source reporting precision, preserves the interpreted stock, and is not an activity constraint.",A lossless full-precision result export or independently observed physical stock and utilization data
AS-UNIFORM-AGE,All recalibrated stocks except power,"The 2020 stock is uniformly distributed over its operational life, producing a linear residual-capacity decline to zero.",RYT.RC 2020-2053,active; sensitivity required,Prevents cliff retirement when asset-vintage microdata are unavailable.,Age-cohort or commissioning-year distributions
AS-ENDUSE-TURN,Non-road end uses,The base annual adoption allowance is scheduled initial-stock retirement plus the positive increment in service demand converted at the lowest class CapacityToActivityUnit. Each technology's allowance also recursively restores previously allowed new-capacity vintages when they reach that technology's operational life.,Full-horizon RYT.TAMaxCI adoption series for non-road stock-group technologies,active,Allows gradual endogenous switching without forcing activity shares and avoids an artificial capacity shortage when endogenous vintages retire later in the horizon.,"Annual equipment sales, retirements and utilization surveys"
AS-POWER-PROFILE,Power,Official 2020 capacity totals scale the inherited v13 residual-capacity trajectories proportionally by technology.,RYT.RC for eight existing generation technologies,active; plant-vintage improvement pending,Corrects the stock total while retaining inherited retirement timing until a unit-level plant register is constructed.,"DOE plant-level installed capacity, commissioning, retirement and dependable-capacity register"
AS-COOK-MAP,Household cooking,LPG and kerosene map to COOK_OIL; wood and other map to COOK_BIOM; charcoal maps to the legacy COOK_COAL technology; electricity maps to COOK_ELE.,RYT.RC cooking mix,active with known charcoal proxy limitation,Uses every published primary-fuel category while preserving the existing technology and commodity structure.,A dedicated charcoal commodity/technology and detailed HECS appliance/fuel microdata
AS-COOK-LIFE,Household cooking,Cooking operational lives are 10 years except biomass stoves at 8 years.,"RT.OL, RYT.RC and cooking turnover ceiling",engineering assumption; sensitivity required,The inherited 15-year life is long for household cooking appliances and no public Philippine survival curve was located.,"HECS appliance ages, sales, retirement or survival data"
AS-ROAD-MAP,Road transport,"LTO cars, buses and motorcycles/tricycles map directly; v13 effective light-truck, heavy-truck and van stocks are retained because LTO truck and utility-vehicle categories do not map one-to-one to the model service classes.",RYT.RC road fleet,mixed official/inherited mapping,Avoids falsely assigning all utility vehicles to vans or reducing effective freight stock below the service demand implied by the model.,LTO body-type/use/fuel microdata reconciled to passenger-km and freight-km classes
AS-ROAD-TURN,Road transport,"The 2020 LTO new-registration count is the annual class market allowance, scaled in later years by the corresponding service-demand index and applied separately to each technology; truck registrations are split by the validated v13 BASE 801:94.8125 light/heavy effective-stock ratio.",Full-horizon RYT.TAMaxCI adoption series for road stock-group technologies,active base-market assumption,"Constrains how quickly any one powertrain can enter without prescribing fuel choice. Because the native constraint is per technology, the sum of all powertrains can exceed the observed class registration total; this is a documented numerical-performance compromise.","Annual registrations, scrappage, imports, sales and fuel/powertrain shares by model class"
AS-TECH-ADOPTION-CAP,All recalibrated stock classes,"Each member technology receives the class annual replacement/registration series as its TotalAnnualMaxCapacityInvestment in every year. The series limits the rate at which any one option can take over, but is not a hard aggregate class-sales cap.",RYT.TAMaxCI for every recalibrated stock-group member in 2020-2053,active formulation choice,"The local OSeMOSYS NCC1 equation applies the bound directly to NewCapacity without TAL/TAU or fuel/activity shares and without a finite release year. Exact aggregate UDC and permit-network formulations both timed out at 280 seconds, while the no-aggregate optimum showed a 64.25-point maximum annual activity-share change across five classes. Per-technology adoption ceilings reduced that maximum to 37.28 points and eliminated the >25-point cooking and industrial-heat events, but four classes still exceed 25 points because available-stock utilization remains endogenous.","Technology-specific annual sales, registrations, installations, retirements and market-share data; or an upstream aggregate capacity-investment formulation with demonstrated CBC performance"
AS-INIT-NCI,Recalibrated sectors,New capacity investment is zero in 2020 for recalibrated end-use stocks and explicitly listed physical power/fuel-conversion capacities; zero-cost sectoral electricity pass-through technologies remain capacity-free. 2020 is the physical-stock initialization year and endogenous replacement begins in 2021.,RYT.TAMaxCI 2020 for physical stock technologies only,active,"Prevents the optimizer from rewriting physical initial stocks without disabling the model's zero-cost pass-through technologies, which use dummy new capacity rather than residual capacity.",A pre-2020 investment vintage structure or a model horizon beginning after the stock observation date
AS-RESOURCE-LIMIT,Power,"For 2020-2024, observed renewable dispatch upper bounds are replaced by the same technical activity ceilings used from 2025 onward.","RYT.TAU for wind, solar, hydro and geothermal",active,Removes historical dispatch reproduction while retaining resource availability limits.,"Updated renewable resource, hydrology and geothermal production potential studies"
AS-HEAT-SYSTEM-BOUNDARY,Power and direct geothermal use,The model excludes a national delivered geothermal-heat commodity until a site-specific demand and delivery chain is evidenced; reported small bathing/swimming direct use is not treated as a one-for-one coproduct of electricity generation.,"Removal of PHL_POW_HEAT, PHL_POW_HEAT1 and the PHL_POW_GEO_OLD heat OAR",active model-boundary decision,"The inherited branch had no sink or demand and duplicated geothermal electricity activity one-for-one. WGC reports only 0.01265 PJ/year of Philippine direct use in 2019, all bathing/swimming, versus 60.8046 PJ of phantom model heat in 2020.","Site-specific direct-use resource temperature, useful-heat demand, delivery network, efficiency, capacity, utilization and cost data"
