map_id,model_file,parameter,entity,mode,scenario,years,value_or_expression,model_unit,evidence_ids,superseded_by,evidence_type,notes
MAP_PHL_V15_LINEAGE,genData.json,inherited source-case identity and structural lineage,"all pre-existing technologies, commodities, constraints and scenarios",,SC_0 and inherited policy scenarios,2020-2053,unchanged from Philippines_v14_STOCK_TURNOVER except allowlisted water structure and case identity; parameter-file fingerprints are in the manifest,structural and mixed inherited units,SRC_PHL_V14_CASE SRC_PHL_V15_MANIFEST,,direct,The manifest holds source-before and generated-source fingerprints for genData.json and every R*.json source file.
MAP_PHL_GWT_IRRIGATION_STRUCTURE,genData.json,technology IAR commodity membership,DEMAGRGWTPHL / PHL_WTR_GWT,1,all scenarios structurally,2020-2053,add COM_bssc5 (PHL_WTR_GWT) to DEMAGRGWTPHL inputs,structural,CALC_PHL_GWT_IRRIGATION_IAR ASM_PHL_GWT_IRRIGATION_ONE_TO_ONE,,derived,Implemented through UpdateCase; no generated solver file is a source.
MAP_PHL_GWT_IRRIGATION_IAR,RYTCM.json,InputActivityRatio,DEMAGRGWTPHL consumes PHL_WTR_GWT,1,SC_0; policy rows inherit,2020-2053,1 in mode 1; 0 in inactive modes,km3 groundwater per km3 activity,CALC_PHL_GWT_IRRIGATION_IAR ASM_PHL_POLICY_INHERITANCE,,derived,Closes groundwater irrigation without pinning activity or source share.
MAP_PHL_CLIMATE_RYTCM,RYTCM.json,InputActivityRatio; OutputActivityRatio,"LNDAGRPHLC01...LNDAGRPHLC08 for PHL_WTR_PRC, PHL_WTR_SUR, PHL_WTR_GWT and PHL_WTR_EVT",1-30,SC_0; policy rows inherit,2020-2053,inherited full-precision BASE coefficient * ERA5_rebase * annual SSP2-4.5 median multiplier,km3 per 1000 km2 activity,CALC_PHL_COMBINED_HYDROLOGY_FACTOR ASM_PHL_HYDROLOGY_UNIFORM_SCALING ASM_PHL_POLICY_INHERITANCE,,derived,Exactly 960 BASE rows changed; AGRWATPHL coefficients are unchanged.
MAP_PHL_SURFACE_CONSTRAINT_STRUCTURE,genData.json,osy-constraints,WATER_SUR_AVAIL / CO_wsur_v14 / Tag 0,,all scenarios structurally,2020-2053,"members PHL_DEM_PUB_SUR_WAT, PHL_DEM_PWR_SUR_WAT, DEMAGRSURPHL",annual activity inequality,CALC_PHL_UDC_EXACTNESS SRC_PHL_V15_MANIFEST,,derived,The internal ConId is retained for stable audit continuity; the case identity is Philippines_v15.
MAP_PHL_GWT_CONSTRAINT_STRUCTURE,genData.json,osy-constraints,WATER_GWT_POTENTIAL / CO_wgwt_v14 / Tag 0,,all scenarios structurally,2020-2053,"members PHL_DEM_PUB_GWT_WAT, PHL_DEM_PWR_GWT_WAT, DEMAGRGWTPHL",annual activity inequality,CALC_PHL_UDC_EXACTNESS SRC_PHL_V15_MANIFEST,,derived,The internal ConId is retained for stable audit continuity; the case identity is Philippines_v15.
MAP_PHL_SURFACE_UCC,RYCn.json,UserConstraintAnnualUpperLimit,WATER_SUR_AVAIL / CO_wsur_v14,,SC_0; policy rows inherit,2020-2053,125.79 * annual SSP2-4.5 median multiplier,km3/year,CALC_PHL_SURFACE_UCC CALC_PHL_WATER_RESOURCE_TOTAL ASM_PHL_POTENTIAL_FLOW_CEILINGS ASM_PHL_POLICY_INHERITANCE,,derived,Annual values are printed in the calculation note and manifest.
MAP_PHL_GROUNDWATER_UCC,RYCn.json,UserConstraintAnnualUpperLimit,WATER_GWT_POTENTIAL / CO_wgwt_v14,,SC_0; policy rows inherit,2020-2053,20.2 * annual SSP2-4.5 median multiplier,km3/year,CALC_PHL_GROUNDWATER_UCC CALC_PHL_WATER_RESOURCE_TOTAL ASM_PHL_NO_GROUNDWATER_STOCK ASM_PHL_POLICY_INHERITANCE,,derived,Potential flow only; not storage or safe yield.
MAP_PHL_SURFACE_CAM,RYTCn.json,UserConstraintActivityMultiplier,PHL_DEM_PUB_SUR_WAT; PHL_DEM_PWR_SUR_WAT; DEMAGRSURPHL in WATER_SUR_AVAIL,1,SC_0; policy rows inherit,2020-2053,1 for exactly three members,dimensionless,CALC_PHL_UDC_EXACTNESS ASM_PHL_POLICY_INHERITANCE,,derived,"Single-mode raw-water IARs are also 1, proving exact gross-withdrawal accounting."
MAP_PHL_GROUNDWATER_CAM,RYTCn.json,UserConstraintActivityMultiplier,PHL_DEM_PUB_GWT_WAT; PHL_DEM_PWR_GWT_WAT; DEMAGRGWTPHL in WATER_GWT_POTENTIAL,1,SC_0; policy rows inherit,2020-2053,1 for exactly three members,dimensionless,CALC_PHL_UDC_EXACTNESS ASM_PHL_POLICY_INHERITANCE,,derived,"Single-mode raw-water IARs are also 1, proving exact gross-withdrawal accounting."
MAP_PHL_WATER_SOURCE_SNAPSHOT,documentation/philippines_water_precipitation_ssp245.json,complete retained evidence snapshot,"Philippines climate, water-resource and groundwater evidence",,evidence only,1950-2059 evidence; 2020-2053 model,"API values, URLs, national benchmarks, groundwater leads, limitations and p10/p90 metadata",mixed evidence units,SRC_PHL_WATER_SNAPSHOT,,direct,Only the median pathway is mapped to active model parameters.
MAP_PHL_WATER_MANIFEST,documentation/national_water_manifest.json,generation and source-diff manifest,Philippines_v15 national water change,,SC_0 plus inherited policies,2020-2053,"full-precision factors, UCCs, exactness proof, fingerprints and limitations",mixed model units and status,SRC_PHL_V15_MANIFEST CALC_PHL_COMBINED_HYDROLOGY_FACTOR CALC_PHL_SURFACE_UCC CALC_PHL_GROUNDWATER_UCC,,derived,Primary link from schema ledger to live source rows.
MAP_PHL_WATER_VALIDATION,documentation/national_water_validation.json,validation evidence,Philippines_v15 / BASE_V15,,BASE,2020-2053,"source checks, generation/preprocess provenance, LP matrix, CBC optimum and v14 comparison",status; seconds; objective,SRC_PHL_V15_VALIDATION CALC_PHL_WATER_VALIDATION,,derived,"Candidate fingerprints, source data digest, exactness and policy inheritance all passed."
MAP_PHL_WATER_LEDGER,documentation/national_water_ledger.json,authoritative water publication,"national annual precipitation, production, withdrawals, caps, residuals and duals",mode-specific where applicable,BASE_V15,2020-2053,full-precision solver activities + EBb4 balances + UDC rows and duals,km3/year unless stated,SRC_PHL_V15_LEDGER CALC_PHL_UDC_EXACTNESS ASM_PHL_ENV_WATER_LEDGER_AUTHORITY,,derived,Use this instead of display-rounded or arbitrary ENV_WATER activity.
